model,sample,gt_mean_jsw_px,pred_mean_jsw_px,gt_median_jsw_px,pred_median_jsw_px,gt_min_jsw_px,pred_min_jsw_px,gt_max_jsw_px,pred_max_jsw_px,gt_std_jsw_px,pred_std_jsw_px,gt_valid_columns,pred_valid_columns,abs_error_px,percent_error
deeplabv3,9000099_dip2,3.3384615384615386,1.7413793103448276,2.0,1.0,1.0,1.0,23.0,14.0,3.7551069761548557,2.232675407848914,65,58,1.597082228116711,47.83886858414111
deeplabv3,9010370_dip2,7.357142857142857,7.0,5.0,4.0,2.0,2.0,34.0,33.0,7.465225504747642,7.066103916685878,56,57,0.35714285714285676,4.85436893203883
deeplabv3,9011918_dip2,6.173913043478261,5.928571428571429,5.0,4.0,3.0,3.0,33.0,35.0,5.10457743354406,5.509268628078189,69,70,0.24534161490683193,3.9738430583500945
deeplabv3,9896392_pip2,9.96103896103896,8.467532467532468,5.0,4.0,1.0,1.0,58.0,56.0,13.011924160136017,11.673684931730405,77,77,1.4935064935064926,14.993481095176001
deeplabv3,9896710_pip2,4.315789473684211,4.625,3.0,3.0,1.0,1.0,28.0,28.0,5.0023078699590355,5.706812449461901,57,48,0.3092105263157894,7.164634146341461
deeplabv3,9896772_pip2,5.535211267605634,6.5396825396825395,3.0,3.0,1.0,1.0,42.0,44.0,8.733666422569511,11.00623978409217,71,63,1.0044712720769056,18.14693646754715
deeplabv3,9897279_pip2,10.986842105263158,9.233766233766234,6.0,5.0,4.0,2.0,46.0,47.0,10.508760031332045,10.529977126424146,76,77,1.7530758714969235,15.956139668714513
deeplabv3,9897397_pip2,5.594202898550725,3.8125,4.0,1.5,2.0,1.0,37.0,29.0,6.557038127257644,6.0386127338984075,69,32,1.7817028985507246,31.849093264248708
deeplabv3,9900971_pip2,6.131578947368421,9.368421052631579,2.0,4.0,1.0,1.0,49.0,50.0,10.279440524995765,12.216083127607204,76,38,3.2368421052631575,52.78969957081544
deeplabv3,9902576_pip2,8.256410256410257,7.578947368421052,3.0,3.0,1.0,1.0,49.0,46.0,11.692026537330406,11.665584965023283,78,76,0.6774628879892051,8.205295848316457
deeplabv3,9902757_pip2,6.161764705882353,4.147540983606557,3.0,2.0,1.0,1.0,41.0,46.0,9.293594084285164,8.397571986277567,68,61,2.014223722275796,32.689072342423415
deeplabv3,9902772_pip2,8.54320987654321,8.447761194029852,3.0,3.0,1.0,1.0,55.0,51.0,13.79841588932285,13.973625030044465,81,67,0.09544868251335892,1.117246139245964
deeplabv3,9902900_pip2,5.162162162162162,5.666666666666667,3.0,3.0,2.0,1.0,39.0,40.0,7.086391654178178,8.718377200494425,74,66,0.5045045045045047,9.773123909249568
deeplabv3,9903020_pip2,8.782051282051283,7.467532467532467,4.0,3.0,2.0,1.0,48.0,46.0,10.836367349379747,10.091251728291741,78,77,1.3145188145188156,14.96824343539673
deeplabv3,9903394_pip2,6.986486486486487,5.5675675675675675,4.0,3.0,2.0,1.0,41.0,48.0,8.123195422457778,8.76276070450138,74,74,1.4189189189189193,20.30947775628627
deeplabv3,9903777_pip2,6.4,5.105263157894737,3.0,2.0,2.0,1.0,53.0,46.0,10.118794394590692,9.04459557643537,80,76,1.2947368421052632,20.230263157894736
deeplabv3,9905276_pip2,3.8767123287671232,4.0,3.0,3.0,1.0,1.0,21.0,29.0,3.0383178722095106,4.594356114637622,73,74,0.12328767123287676,3.180212014134277
deeplabv3,9905383_pip2,5.213114754098361,4.846153846153846,4.0,2.0,1.0,1.0,30.0,28.0,5.657186794640464,6.581981860131535,61,52,0.36696090794451486,7.0391872278664795
deeplabv3,9905766_pip2,6.064516129032258,4.148148148148148,3.0,2.0,1.0,1.0,37.0,33.0,8.071996530702632,6.955965751325094,62,54,1.91636798088411,31.599684791174155
deeplabv3,9906008_pip2,4.916666666666667,3.48,3.0,2.0,1.0,1.0,39.0,26.0,7.3404321701412405,5.415680935948867,72,50,1.436666666666667,29.22033898305085
deeplabv3,9906491_pip2,6.7682926829268295,6.3108108108108105,4.0,4.0,1.0,1.0,37.0,33.0,7.592195576408334,7.450604320992441,82,74,0.457481872116019,6.759191624056496
deeplabv3,9907012_pip2,8.89873417721519,7.285714285714286,3.0,4.0,1.0,1.0,51.0,47.0,12.97572703429672,10.506469426713773,79,77,1.6130198915009037,18.126397073765492
deeplabv3,9907090_pip2,9.342105263157896,6.866666666666666,5.0,4.0,3.0,1.0,47.0,42.0,10.680223523655085,9.54474841062991,76,75,2.4754385964912293,26.49765258215964
deeplabv3,9907282_pip2,6.921052631578948,5.486486486486487,3.0,2.0,1.0,1.0,45.0,39.0,11.38993456602287,9.583549028389593,76,74,1.434566145092461,20.72757167814202
deeplabv3,9907544_pip2,9.13953488372093,7.7682926829268295,2.0,2.0,1.0,1.0,58.0,55.0,15.176605919161481,12.620442940400219,86,82,1.371242200794101,15.003413392912554
deeplabv3,9907767_pip2,4.428571428571429,5.487804878048781,2.0,2.0,1.0,1.0,34.0,36.0,7.759457691969806,9.200005172902872,56,41,1.059233449477352,23.918174665617624
deeplabv3,9907800_pip2,5.127272727272727,5.706896551724138,2.0,2.0,1.0,1.0,35.0,39.0,7.420008687705146,8.53796515507638,55,58,0.5796238244514109,11.30471998043532
deeplabv3,9907998_pip2,4.8076923076923075,3.4342105263157894,2.0,2.0,1.0,1.0,40.0,26.0,6.808851125477425,4.998251079169144,78,76,1.373481781376518,28.568421052631578
deeplabv3,9937943_dip2,3.484848484848485,3.0416666666666665,2.0,1.0,1.0,1.0,19.0,22.0,3.738588391206144,4.765143987564512,66,48,0.44318181818181834,12.71739130434783
deeplabv3,9938327_dip2,4.698412698412699,4.26984126984127,3.0,3.0,1.0,2.0,27.0,23.0,4.692563927175889,4.0245530135571235,63,63,0.4285714285714288,9.121621621621626
deeplabv3,9938453_dip2,4.887096774193548,4.841269841269841,3.0,3.0,1.0,1.0,30.0,32.0,5.711066898545929,5.872200715630044,62,63,0.0458269329237071,0.9377128189009374
deeplabv3,9941446_dip2,6.2075471698113205,5.169811320754717,4.0,4.0,3.0,2.0,30.0,30.0,6.183845327967691,4.665149187918026,53,53,1.0377358490566033,16.71732522796352
deeplabv3,9942319_dip2,3.639344262295082,4.283333333333333,2.0,3.0,1.0,1.0,21.0,26.0,3.979590500744344,4.704932400033915,61,60,0.6439890710382512,17.69519519519519
deeplabv3,9942553_dip2,3.6825396825396823,4.981132075471698,2.0,2.0,1.0,1.0,33.0,35.0,5.811388372829153,7.4542391789687725,63,53,1.2985923929320156,35.263500325309046
deeplabv3,9942724_dip2,4.935064935064935,4.617647058823529,3.0,2.0,1.0,1.0,33.0,35.0,6.641736712202991,8.044050435249911,77,68,0.3174178762414064,6.431888544891655
deeplabv3,9942867_dip2,4.044444444444444,3.864864864864865,3.0,3.0,1.0,1.0,20.0,24.0,4.633000254481398,4.192413754610416,45,37,0.17957957957957937,4.440154440154435
deeplabv3,9942935_dip2,5.2388059701492535,4.53125,3.0,3.0,1.0,1.0,31.0,27.0,6.667115897836803,4.8054940888008595,67,64,0.7075559701492535,13.506054131054126
deeplabv3,9943317_dip2,6.016949152542373,5.372881355932203,5.0,4.0,2.0,3.0,23.0,31.0,3.9936030434434735,4.569235017696128,59,59,0.6440677966101696,10.704225352112678
deeplabv3,9943818_dip2,5.815789473684211,5.338461538461538,4.0,3.0,1.0,1.0,36.0,35.0,7.018229133207677,6.855153980376704,76,65,0.4773279352226725,8.207448659937356
deeplabv3,9945335_dip2,2.891304347826087,6.909090909090909,2.0,5.0,1.0,1.0,19.0,18.0,3.817740401983563,4.980955466110081,46,11,4.017786561264822,138.96103896103898
deeplabv3,9946473_dip2,4.981481481481482,4.962962962962963,4.0,4.0,2.0,1.0,28.0,31.0,3.9510464658850815,4.8341492145214024,54,54,0.018518518518519045,0.3717472118959213
deeplabv3,9947497_dip2,4.9743589743589745,4.166666666666667,4.0,3.0,1.0,1.0,38.0,35.0,5.620416899799128,5.626491571788534,78,54,0.8076923076923075,16.23711340206185
deeplabv3,9948792_dip2,7.383561643835616,6.015384615384615,5.0,4.0,1.0,1.0,36.0,37.0,8.158750470047567,7.341121917385459,73,65,1.3681770284510009,18.530041387184244
deeplabv3,9949194_dip2,4.512820512820513,3.2777777777777777,3.0,2.0,1.0,1.0,51.0,45.0,6.170117377729847,5.563327896497798,78,72,1.235042735042735,27.367424242424242
deeplabv3,9949467_dip2,5.5,6.089285714285714,5.0,4.0,3.0,2.0,18.0,31.0,3.0291790844923523,5.610184570793313,54,56,0.5892857142857144,10.714285714285717
deeplabv3,9950320_dip2,7.803921568627451,6.163265306122449,2.0,2.0,1.0,1.0,79.0,77.0,17.51192267004659,14.707136874730637,51,49,1.6406562625050016,21.023484770792734
deeplabv3,9951122_dip2,3.4126984126984126,2.9107142857142856,2.0,2.0,1.0,1.0,20.0,18.0,3.444042109484471,3.0312467126007845,63,56,0.501984126984127,14.709302325581397
deeplabv3,9951284_dip2,8.212121212121213,7.081967213114754,4.0,4.0,3.0,1.0,41.0,35.0,8.813755006729027,7.6228626823743095,66,61,1.1301539990064589,13.76202286613031
