model,sample,gt_mean_jsw_px,pred_mean_jsw_px,gt_median_jsw_px,pred_median_jsw_px,gt_min_jsw_px,pred_min_jsw_px,gt_max_jsw_px,pred_max_jsw_px,gt_std_jsw_px,pred_std_jsw_px,gt_valid_columns,pred_valid_columns,abs_error_px,percent_error
unet,9000099_dip2,3.3384615384615386,2.3666666666666667,2.0,2.0,1.0,1.0,23.0,23.0,3.7551069761548557,3.0874297113006834,65,60,0.9717948717948719,29.109062980030725
unet,9010370_dip2,7.357142857142857,7.410714285714286,5.0,5.0,2.0,3.0,34.0,32.0,7.465225504747642,6.852467714299003,56,56,0.053571428571428825,0.7281553398058287
unet,9011918_dip2,6.173913043478261,5.411764705882353,5.0,4.0,3.0,2.0,33.0,31.0,5.10457743354406,4.396640743452849,69,68,0.7621483375959075,12.34465617232808
unet,9896392_pip2,9.96103896103896,7.986666666666666,5.0,4.0,1.0,2.0,58.0,52.0,13.011924160136017,10.681439769785511,77,75,1.9743722943722943,19.82094741416775
unet,9896710_pip2,4.315789473684211,3.5737704918032787,3.0,2.0,1.0,1.0,28.0,31.0,5.0023078699590355,5.767230822254477,57,61,0.742018981880932,17.193122750899644
unet,9896772_pip2,5.535211267605634,6.92,3.0,3.0,1.0,1.0,42.0,45.0,8.733666422569511,10.184642032655509,71,75,1.384788732394366,25.017811704834603
unet,9897279_pip2,10.986842105263158,9.447368421052632,6.0,6.0,4.0,2.0,46.0,45.0,10.508760031332045,10.713241605899272,76,76,1.5394736842105257,14.011976047904188
unet,9897397_pip2,5.594202898550725,5.046511627906977,4.0,2.0,2.0,1.0,37.0,35.0,6.557038127257644,7.757827220304494,69,43,0.5476912706437478,9.790336185082538
unet,9900971_pip2,6.131578947368421,7.157894736842105,2.0,3.0,1.0,1.0,49.0,80.0,10.279440524995765,12.930026897414677,76,76,1.026315789473684,16.7381974248927
unet,9902576_pip2,8.256410256410257,7.894736842105263,3.0,3.0,1.0,2.0,49.0,51.0,11.692026537330406,11.226822847383733,78,76,0.36167341430499444,4.380516508662976
unet,9902757_pip2,6.161764705882353,4.433333333333334,3.0,2.0,1.0,1.0,41.0,37.0,9.293594084285164,8.525191428284112,68,60,1.7284313725490197,28.05091487669053
unet,9902772_pip2,8.54320987654321,7.061728395061729,3.0,2.0,1.0,1.0,55.0,50.0,13.79841588932285,12.484405758229236,81,81,1.4814814814814818,17.34104046242775
unet,9902900_pip2,5.162162162162162,6.5,3.0,3.0,2.0,2.0,39.0,39.0,7.086391654178178,7.949393507863172,74,70,1.3378378378378377,25.916230366492144
unet,9903020_pip2,8.782051282051283,8.430379746835444,4.0,3.0,2.0,2.0,48.0,50.0,10.836367349379747,11.81469107392352,78,79,0.35167153521583927,4.004434999538024
unet,9903394_pip2,6.986486486486487,5.309859154929577,4.0,3.0,2.0,1.0,41.0,42.0,8.123195422457778,7.743405280125492,74,71,1.6766273315569098,23.998147492303932
unet,9903777_pip2,6.4,5.705128205128205,3.0,3.0,2.0,1.0,53.0,46.0,10.118794394590692,8.42783692533106,80,78,0.6948717948717951,10.857371794871797
unet,9905276_pip2,3.8767123287671232,4.8493150684931505,3.0,4.0,1.0,2.0,21.0,32.0,3.0383178722095106,4.202645066891337,73,73,0.9726027397260273,25.088339222614835
unet,9905383_pip2,5.213114754098361,4.142857142857143,4.0,2.0,1.0,1.0,30.0,33.0,5.657186794640464,5.702219403219152,61,56,1.0702576112412174,20.53009883198562
unet,9905766_pip2,6.064516129032258,6.487804878048781,3.0,1.0,1.0,1.0,37.0,33.0,8.071996530702632,9.897331375283507,62,41,0.4232887490165229,6.97976128697458
unet,9906008_pip2,4.916666666666667,3.456140350877193,3.0,2.0,1.0,1.0,39.0,38.0,7.3404321701412405,6.887747003724743,72,57,1.460526315789474,29.705619982158787
unet,9906491_pip2,6.7682926829268295,5.925,4.0,4.0,1.0,1.0,37.0,38.0,7.592195576408334,6.39487099166199,82,80,0.8432926829268297,12.459459459459465
unet,9907012_pip2,8.89873417721519,7.9375,3.0,3.0,1.0,1.0,51.0,51.0,12.97572703429672,10.66693928688075,79,80,0.9612341772151893,10.80192034139402
unet,9907090_pip2,9.342105263157896,8.405405405405405,5.0,5.0,3.0,3.0,47.0,45.0,10.680223523655085,8.854558940163855,76,74,0.9366998577524903,10.026646364674544
unet,9907282_pip2,6.921052631578948,6.533333333333333,3.0,3.0,1.0,2.0,45.0,44.0,11.38993456602287,9.72602465324634,76,75,0.3877192982456146,5.602027883396713
unet,9907544_pip2,9.13953488372093,9.024096385542169,2.0,3.0,1.0,1.0,58.0,55.0,15.176605919161481,13.727973291404126,86,83,0.1154384981787615,1.2630675373248714
unet,9907767_pip2,4.428571428571429,5.25,2.0,2.0,1.0,1.0,34.0,34.0,7.759457691969806,7.964766161036995,56,56,0.8214285714285712,18.548387096774185
unet,9907800_pip2,5.127272727272727,5.410714285714286,2.0,2.0,1.0,1.0,35.0,42.0,7.420008687705146,8.470066591309923,55,56,0.2834415584415586,5.5281155015197605
unet,9907998_pip2,4.8076923076923075,5.295774647887324,2.0,2.0,1.0,1.0,40.0,36.0,6.808851125477425,7.3626280637795665,78,71,0.4880823401950165,10.152112676056344
unet,9937943_dip2,3.484848484848485,3.0454545454545454,2.0,2.0,1.0,1.0,19.0,17.0,3.738588391206144,3.661560431481151,66,66,0.43939393939393945,12.608695652173916
unet,9938327_dip2,4.698412698412699,5.125,3.0,3.0,1.0,2.0,27.0,32.0,4.692563927175889,5.298879598556661,63,64,0.4265873015873014,9.079391891891888
