model,sample,gt_mean_jsw_px,pred_mean_jsw_px,gt_median_jsw_px,pred_median_jsw_px,gt_min_jsw_px,pred_min_jsw_px,gt_max_jsw_px,pred_max_jsw_px,gt_std_jsw_px,pred_std_jsw_px,gt_valid_columns,pred_valid_columns,abs_error_px,percent_error
attention_unet,9000099_dip2,3.3384615384615386,2.0,2.0,1.0,1.0,1.0,23.0,24.0,3.7551069761548557,3.286335345030997,65,60,1.3384615384615386,40.092165898617516
attention_unet,9002316_dip3,8.966666666666667,7.411111111111111,4.0,3.0,2.0,1.0,58.0,50.0,11.524322105876768,10.719550617078067,90,90,1.5555555555555554,17.348203221809165
attention_unet,9002430_mcp2,16.37272727272727,15.245454545454546,9.0,8.0,3.0,2.0,68.0,67.0,16.601127612801754,16.106569164410335,110,110,1.1272727272727252,6.885063853414758
attention_unet,9002430_mcp3,17.974789915966387,17.445378151260503,9.0,8.0,4.0,4.0,77.0,79.0,18.539742542098402,18.552989058592747,119,119,0.529411764705884,2.945301542777008
attention_unet,9002430_mcp4,10.641304347826088,9.91304347826087,7.0,7.0,2.0,2.0,49.0,50.0,9.661197065242968,9.167110603903316,92,92,0.7282608695652186,6.843718079673147
attention_unet,9002430_mcp5,18.833333333333332,18.479166666666668,9.0,9.0,5.0,5.0,62.0,60.0,16.447939756158586,16.340121357328478,96,96,0.3541666666666643,1.8805309734513151
attention_unet,9003175_mcp3,16.741935483870968,15.78494623655914,9.0,9.0,4.0,3.0,78.0,75.0,16.947676102821895,16.229436592004163,93,93,0.956989247311828,5.716120745022479
attention_unet,9003316_mcp3,18.904411764705884,16.875912408759124,12.0,11.0,6.0,3.0,80.0,79.0,17.584200242928056,17.55884590236456,136,137,2.02849935594676,10.73029608746633
attention_unet,9003380_dip3,8.26086956521739,7.826086956521739,5.0,5.0,4.0,3.0,43.0,44.0,8.033719108987892,7.73839762041012,69,69,0.43478260869565144,5.263157894736834
attention_unet,9004175_mcp4,18.291666666666668,17.625,11.0,10.5,6.0,5.0,65.0,63.0,15.33508821479536,15.411203987143034,96,96,0.6666666666666679,3.6446469248291633
attention_unet,9005413_pip3,10.132530120481928,9.46987951807229,2.0,3.0,1.0,1.0,53.0,51.0,13.667101546517742,12.505745522351775,83,83,0.6626506024096379,6.539833531510101
attention_unet,9006140_mcp2,19.56756756756757,18.945945945945947,10.0,10.0,5.0,4.0,78.0,79.0,19.552480371499342,19.524453522863258,111,111,0.621621621621621,3.176795580110494
attention_unet,9006140_mcp4,15.494505494505495,14.351648351648352,7.0,6.0,4.0,2.0,74.0,74.0,18.121915350322535,18.08731789712085,91,91,1.1428571428571423,7.3758865248226915
attention_unet,9006723_dip3,9.16,9.706666666666667,3.0,4.0,2.0,2.0,48.0,53.0,11.091185689546451,11.684489243817586,75,75,0.5466666666666669,5.967976710334791
attention_unet,9006723_dip4,6.08955223880597,6.567164179104478,2.0,3.0,1.0,2.0,35.0,36.0,7.924515792512408,7.746398066385175,67,67,0.47761194029850795,7.843137254901969
attention_unet,9008820_dip3,9.5375,9.207317073170731,5.0,3.0,2.0,2.0,54.0,54.0,11.78764581033889,12.23722609736378,80,82,0.3301829268292682,3.4619441869385916
attention_unet,9008934_dip4,9.985714285714286,10.084507042253522,6.0,6.0,5.0,4.0,36.0,42.0,8.243599867503892,9.08139481573432,70,71,0.09879275653923614,0.9893409095488597
attention_unet,9008934_dip5,7.4576271186440675,7.728813559322034,3.0,4.0,2.0,3.0,80.0,80.0,11.151228607385816,10.75431408662191,59,59,0.27118644067796627,3.636363636363639
attention_unet,9008934_mcp2,16.26530612244898,16.520408163265305,11.0,11.0,1.0,2.0,71.0,71.0,17.281316453779695,16.31277800878854,98,98,0.25510204081632537,1.5683814303638572
attention_unet,9008934_mcp3,19.13888888888889,19.09259259259259,11.0,10.0,2.0,5.0,79.0,79.0,19.76128760112359,19.056221418737373,108,108,0.04629629629629761,0.24189646831156952
attention_unet,9008934_mcp4,18.46067415730337,18.366666666666667,11.0,11.0,7.0,6.0,65.0,69.0,16.059619386100366,16.848639905543315,89,90,0.09400749063670233,0.5092310813552348
attention_unet,9008934_mcp5,19.78494623655914,19.677419354838708,10.0,11.0,6.0,6.0,65.0,65.0,16.54959926251381,16.45205565501632,93,93,0.10752688172043179,0.5434782608695737
attention_unet,9008934_pip5,7.107692307692307,7.462686567164179,3.0,3.0,2.0,1.0,41.0,42.0,9.062387318213974,10.33372735950421,65,67,0.354994259471872,4.9945079795826155
attention_unet,9009927_mcp3,14.797872340425531,15.063157894736841,9.0,9.0,5.0,4.0,66.0,74.0,13.849172175301666,14.810245761005625,94,95,0.2652855543113102,1.792727685496992
attention_unet,9009927_mcp4,12.469135802469136,17.208791208791208,8.0,8.0,4.0,4.0,57.0,65.0,11.300700753704062,17.76990695091897,81,91,4.739655406322072,38.011097813078
attention_unet,9009927_mcp5,16.7816091954023,16.689655172413794,9.0,9.0,5.0,5.0,58.0,58.0,13.587879392164453,13.496964618168132,87,87,0.09195402298850652,0.5479452054794567
attention_unet,9010060_mcp3,13.878787878787879,14.277227722772277,7.0,7.0,4.0,2.0,73.0,79.0,15.478412942470259,17.25815566243781,99,101,0.3984398439843986,2.8708547710666275
attention_unet,9010370_dip2,7.357142857142857,6.857142857142857,5.0,4.0,2.0,3.0,34.0,32.0,7.465225504747642,6.906075408726754,56,56,0.5,6.796116504854369
attention_unet,9010370_dip3,5.0754716981132075,5.2407407407407405,4.0,4.0,1.0,2.0,25.0,25.0,4.588126828714395,4.78785185414389,53,54,0.16526904262753295,3.256230207903066
attention_unet,9011115_dip3,10.915492957746478,10.152777777777779,6.0,5.0,4.0,4.0,45.0,41.0,9.967194752580381,9.927039004409206,71,72,0.7627151799686995,6.987455197132602
attention_unet,9011115_dip4,11.380281690140846,10.222222222222221,5.0,4.5,3.0,2.0,49.0,47.0,11.679241482681636,11.362978656611887,71,72,1.1580594679186245,10.17601760176019
attention_unet,9011420_mcp4,15.526315789473685,15.355263157894736,10.0,10.0,7.0,7.0,55.0,54.0,12.418654987145374,12.347708020187412,76,76,0.17105263157894868,1.1016949152542457
attention_unet,9011420_mcp5,19.30952380952381,18.795180722891565,12.0,11.0,5.0,5.0,61.0,58.0,15.75479986609991,15.051525188814185,84,83,0.5143430866322447,2.6636756644333266
attention_unet,9011420_pip3,6.118421052631579,6.883116883116883,3.0,3.0,1.0,2.0,50.0,56.0,9.13778607481213,10.154615131399998,76,77,0.7646958304853042,12.498254433738305
attention_unet,9011420_pip4,8.055555555555555,7.583333333333333,5.0,4.5,1.0,2.0,47.0,47.0,9.466151524846728,9.301657558378148,72,72,0.4722222222222223,5.862068965517243
attention_unet,9011918_dip2,6.173913043478261,6.142857142857143,5.0,4.0,3.0,3.0,33.0,44.0,5.10457743354406,6.883283506927104,69,70,0.031055900621117516,0.5030181086519034
attention_unet,9011918_dip4,9.397058823529411,8.279411764705882,6.0,5.0,4.0,4.0,38.0,35.0,8.585452308963166,7.516346085533092,68,68,1.117647058823529,11.893583724569638
attention_unet,9013634_dip3,7.774193548387097,6.951612903225806,4.0,3.0,2.0,2.0,39.0,39.0,8.797762462674006,8.303569810153435,62,62,0.8225806451612909,10.580912863070546
attention_unet,9018489_pip3,7.3478260869565215,6.117647058823529,4.0,2.0,2.0,1.0,41.0,36.0,8.885464578813448,8.700117328087671,69,68,1.2301790281329925,16.742081447963805
attention_unet,9019907_pip5,5.068965517241379,5.0,2.0,3.0,1.0,1.0,27.0,30.0,6.426942397829455,5.884860146797749,58,57,0.068965517241379,1.3605442176870688
attention_unet,9020404_mcp2,12.675438596491228,13.104347826086956,5.0,4.0,2.0,2.0,73.0,72.0,16.500130575791193,17.24673827413196,114,115,0.4289092295957282,3.3837821573642226
attention_unet,9020404_mcp3,16.82882882882883,16.28828828828829,8.0,8.0,4.0,2.0,80.0,80.0,19.831212941634863,20.010081867631683,111,111,0.5405405405405403,3.211991434689506
attention_unet,9020714_mcp2,13.282828282828282,13.33673469387755,7.0,7.0,1.0,2.0,71.0,65.0,15.013152754740753,14.339145704743276,99,98,0.053906411049268854,0.4058353379374614
attention_unet,9020714_mcp3,11.775280898876405,11.855555555555556,5.0,5.0,2.0,2.0,54.0,59.0,13.433776656553974,14.170831631763978,89,90,0.08027465667915124,0.6817217981340133
attention_unet,9020856_mcp2,17.49473684210526,17.587628865979383,10.0,10.0,7.0,5.0,70.0,77.0,15.118391507460482,16.417712698607325,95,97,0.09289202387412132,0.5309712555981665
attention_unet,9021791_mcp3,14.507936507936508,14.086614173228346,7.0,6.0,3.0,2.0,76.0,77.0,16.696043648714458,17.637658182819287,126,127,0.4213223347081616,2.9040817381415955
attention_unet,9022408_mcp4,14.279569892473118,14.096774193548388,7.0,7.0,3.0,2.0,75.0,75.0,17.340589212123376,17.123877887185717,93,93,0.18279569892473013,1.2801204819277034
attention_unet,9022408_mcp5,13.283950617283951,13.471264367816092,10.0,10.0,6.0,6.0,58.0,59.0,10.855088774112243,10.557820090721412,81,87,0.18731375053214094,1.4100756313293137
attention_unet,9023348_dip3,7.6,7.615384615384615,4.0,4.0,1.0,1.0,47.0,43.0,10.94995609404615,9.664673670629718,65,65,0.01538461538461533,0.20242914979757015
attention_unet,9023348_mcp2,21.587628865979383,20.04123711340206,12.0,11.0,7.0,5.0,73.0,73.0,17.12161025361495,17.886190910131596,97,97,1.5463917525773212,7.163323782234963
attention_unet,9023348_mcp3,14.68131868131868,13.555555555555555,6.0,6.0,1.0,1.0,71.0,63.0,16.85548081265897,16.03614743918744,91,90,1.1257631257631253,7.6679973386560185
attention_unet,9023348_pip3,6.875,6.45,3.0,3.0,1.0,2.0,44.0,45.0,9.25388431957089,8.59927322510455,80,80,0.4249999999999998,6.181818181818179
attention_unet,9023348_pip4,5.267605633802817,5.070422535211268,4.0,3.0,1.0,1.0,43.0,43.0,6.282005929029566,7.6734845155376705,71,71,0.19718309859154903,3.7433155080213854
attention_unet,9023407_mcp2,21.61111111111111,20.805555555555557,12.5,13.0,6.0,4.0,79.0,79.0,18.175499042174845,18.431282954749097,108,108,0.8055555555555536,3.7275064267352094
attention_unet,9023407_mcp3,20.357798165137616,18.833333333333332,10.0,9.0,6.0,4.0,76.0,76.0,19.12658121341582,19.185980606991446,109,108,1.5244648318042842,7.4883581192729585
attention_unet,9023407_pip4,10.272727272727273,9.73076923076923,4.0,4.0,1.0,2.0,49.0,50.0,13.699593665067498,13.23037790118952,77,78,0.5419580419580434,5.275697753573874
attention_unet,9024409_mcp2,17.54945054945055,16.252747252747252,9.0,8.0,8.0,5.0,71.0,71.0,14.476402728642235,15.144428059316441,91,91,1.2967032967032992,7.388854101440214
attention_unet,9024409_mcp3,16.152173913043477,15.58695652173913,7.5,7.5,4.0,4.0,61.0,58.0,15.682955842880968,15.697654334543277,92,92,0.5652173913043459,3.4993270524898943
attention_unet,9024409_mcp4,14.5,14.189873417721518,8.0,8.0,4.0,3.0,51.0,53.0,13.570093437314124,13.532030402693454,78,79,0.3101265822784818,2.1388040157136676
attention_unet,9024409_pip5,4.864406779661017,4.578947368421052,2.0,2.0,1.0,1.0,32.0,30.0,6.953739701378697,6.43441233135253,59,57,0.2854594112399651,5.868329359985345
attention_unet,9024900_dip3,7.615384615384615,7.333333333333333,5.0,4.0,3.0,3.0,33.0,32.0,6.84485726702297,7.255788354580407,65,66,0.28205128205128194,3.703703703703702
