model,sample,gt_mean_jsw_px,pred_mean_jsw_px,gt_median_jsw_px,pred_median_jsw_px,gt_min_jsw_px,pred_min_jsw_px,gt_max_jsw_px,pred_max_jsw_px,gt_std_jsw_px,pred_std_jsw_px,gt_valid_columns,pred_valid_columns,abs_error_px,percent_error
deeplabv3,9000099_dip2,3.3384615384615386,3.9692307692307693,2.0,3.0,1.0,2.0,23.0,29.0,3.7551069761548557,5.437672666101614,65,65,0.6307692307692307,18.89400921658986
deeplabv3,9002316_dip3,8.966666666666667,8.707865168539326,4.0,4.0,2.0,3.0,58.0,48.0,11.524322105876768,10.281654052205619,90,89,0.2588014981273403,2.8862620608997065
deeplabv3,9002430_mcp2,16.37272727272727,17.35135135135135,9.0,10.0,3.0,5.0,68.0,70.0,16.601127612801754,16.396906238979522,110,111,0.9786240786240796,5.9771598361270835
deeplabv3,9002430_mcp3,17.974789915966387,17.865546218487395,9.0,9.0,4.0,4.0,77.0,76.0,18.539742542098402,18.076366654400836,119,119,0.10924369747899121,0.6077606358111246
deeplabv3,9002430_mcp4,10.641304347826088,10.554347826086957,7.0,8.0,2.0,2.0,49.0,49.0,9.661197065242968,9.618103548985996,92,92,0.08695652173913082,0.8171603677221689
deeplabv3,9002430_mcp5,18.833333333333332,18.885416666666668,9.0,9.0,5.0,5.0,62.0,61.0,16.447939756158586,16.18311220562109,96,96,0.0520833333333357,0.27654867256638427
deeplabv3,9003175_mcp3,16.741935483870968,16.913978494623656,9.0,9.0,4.0,4.0,78.0,79.0,16.947676102821895,16.950691243543613,93,93,0.17204301075268802,1.0276172125883098
deeplabv3,9003316_mcp3,18.904411764705884,18.918518518518518,12.0,12.0,6.0,7.0,80.0,79.0,17.584200242928056,16.633323024646927,136,135,0.014106753812633599,0.07462149041299765
deeplabv3,9003380_dip3,8.26086956521739,8.405797101449275,5.0,5.0,4.0,4.0,43.0,42.0,8.033719108987892,7.964265917898905,69,69,0.1449275362318847,1.7543859649122886
deeplabv3,9004175_mcp4,18.291666666666668,19.0625,11.0,10.5,6.0,6.0,65.0,65.0,15.33508821479536,16.74055237290574,96,96,0.7708333333333321,4.214123006833706
deeplabv3,9005413_pip3,10.132530120481928,10.317073170731707,2.0,5.0,1.0,3.0,53.0,53.0,13.667101546517742,11.901914222736515,83,82,0.18454305024977913,1.8212928859371782
deeplabv3,9006140_mcp2,19.56756756756757,19.10810810810811,10.0,9.0,5.0,4.0,78.0,74.0,19.552480371499342,19.390418062459645,111,111,0.45945945945945965,2.3480662983425424
deeplabv3,9006140_mcp4,15.494505494505495,15.91304347826087,7.0,6.0,4.0,3.0,74.0,74.0,18.121915350322535,18.94021037364975,91,92,0.41853798375537465,2.701202590194262
deeplabv3,9006723_dip3,9.16,9.106666666666667,3.0,4.0,2.0,2.0,48.0,48.0,11.091185689546451,11.076188674609853,75,75,0.05333333333333279,0.5822416302765588
deeplabv3,9006723_dip4,6.08955223880597,6.164179104477612,2.0,3.0,1.0,1.0,35.0,35.0,7.924515792512408,7.714295732890252,67,67,0.07462686567164223,1.2254901960784386
deeplabv3,9008820_dip3,9.5375,9.8,5.0,5.0,2.0,2.0,54.0,52.0,11.78764581033889,11.64731728768475,80,80,0.26250000000000107,2.7522935779816624
deeplabv3,9008934_dip4,9.985714285714286,10.309859154929578,6.0,6.0,5.0,5.0,36.0,41.0,8.243599867503892,8.736505165990227,70,71,0.3241448692152922,3.2460859578069314
deeplabv3,9008934_dip5,7.4576271186440675,7.864406779661017,3.0,4.0,2.0,3.0,80.0,78.0,11.151228607385816,11.607212291952901,59,59,0.40677966101694985,5.454545454545464
deeplabv3,9008934_mcp2,16.26530612244898,18.50574712643678,11.0,13.0,1.0,1.0,71.0,71.0,17.281316453779695,17.90580305550387,98,87,2.240441003987801,13.77435498060254
deeplabv3,9008934_mcp3,19.13888888888889,18.90740740740741,11.0,11.0,2.0,2.0,79.0,77.0,19.76128760112359,19.389065760274306,108,108,0.23148148148148096,1.2094823415578104
deeplabv3,9008934_mcp4,18.46067415730337,18.303370786516854,11.0,11.0,7.0,8.0,65.0,65.0,16.059619386100366,15.85142002243603,89,89,0.15730337078651502,0.8520998174071721
deeplabv3,9008934_mcp5,19.78494623655914,19.870967741935484,10.0,10.0,6.0,5.0,65.0,67.0,16.54959926251381,16.652182398513656,93,93,0.08602150537634401,0.4347826086956518
deeplabv3,9008934_pip5,7.107692307692307,6.861538461538461,3.0,2.0,2.0,1.0,41.0,41.0,9.062387318213974,9.141413664580673,65,65,0.24615384615384617,3.463203463203464
deeplabv3,9009927_mcp3,14.797872340425531,15.479166666666666,9.0,9.0,5.0,5.0,66.0,75.0,13.849172175301666,15.233583490834397,94,96,0.6812943262411348,4.60400191708603
deeplabv3,9009927_mcp4,12.469135802469136,17.53846153846154,8.0,8.0,4.0,5.0,57.0,65.0,11.300700753704062,17.95862625519545,81,91,5.069325735992404,40.65498857578066
deeplabv3,9009927_mcp5,16.7816091954023,17.528735632183906,9.0,10.0,5.0,7.0,58.0,79.0,13.587879392164453,13.84963510906506,87,87,0.7471264367816062,4.45205479452053
deeplabv3,9010060_mcp3,13.878787878787879,14.73,7.0,8.0,4.0,4.0,73.0,79.0,15.478412942470259,16.317999264615747,99,100,0.8512121212121215,6.1331877729257664
deeplabv3,9010370_dip2,7.357142857142857,7.1454545454545455,5.0,5.0,2.0,3.0,34.0,30.0,7.465225504747642,6.691699558050003,56,55,0.21168831168831126,2.8773168578993764
deeplabv3,9010370_dip3,5.0754716981132075,5.415094339622642,4.0,4.0,1.0,2.0,25.0,27.0,4.588126828714395,4.615126737416947,53,53,0.33962264150943433,6.691449814126401
deeplabv3,9011115_dip3,10.915492957746478,11.347222222222221,6.0,6.0,4.0,5.0,45.0,43.0,9.967194752580381,10.205063724312746,71,72,0.43172926447574334,3.9551971326164876
deeplabv3,9011115_dip4,11.380281690140846,10.901408450704226,5.0,5.0,3.0,3.0,49.0,50.0,11.679241482681636,11.665713491068741,71,71,0.47887323943661997,4.20792079207921
deeplabv3,9011420_mcp4,15.526315789473685,15.146666666666667,10.0,9.0,7.0,7.0,55.0,54.0,12.418654987145374,11.63637209595652,76,75,0.37964912280701846,2.445197740113
deeplabv3,9011420_mcp5,19.30952380952381,18.96385542168675,12.0,12.0,5.0,5.0,61.0,65.0,15.75479986609991,15.224778300269273,84,83,0.3456683878370619,1.7901445486013068
deeplabv3,9011420_pip3,6.118421052631579,6.04054054054054,3.0,3.0,1.0,1.0,50.0,51.0,9.13778607481213,9.300449261437464,76,74,0.07788051209103841,1.2728857890148213
deeplabv3,9011420_pip4,8.055555555555555,7.863013698630137,5.0,5.0,1.0,1.0,47.0,49.0,9.466151524846728,9.65474554121266,72,73,0.19254185692541803,2.390174775625879
deeplabv3,9011918_dip2,6.173913043478261,6.514285714285714,5.0,5.0,3.0,3.0,33.0,40.0,5.10457743354406,6.532868232785564,69,70,0.3403726708074535,5.513078470824951
deeplabv3,9011918_dip4,9.397058823529411,9.014705882352942,6.0,6.0,4.0,2.0,38.0,36.0,8.585452308963166,8.135782704055735,68,68,0.38235294117646923,4.068857589984336
deeplabv3,9013634_dip3,7.774193548387097,7.790322580645161,4.0,4.0,2.0,2.0,39.0,37.0,8.797762462674006,8.822875503712282,62,62,0.016129032258064058,0.2074688796680439
deeplabv3,9018489_pip3,7.3478260869565215,8.144927536231885,4.0,4.0,2.0,2.0,41.0,40.0,8.885464578813448,9.898434018027386,69,69,0.7971014492753632,10.84812623274163
deeplabv3,9019907_pip5,5.068965517241379,5.258620689655173,2.0,3.0,1.0,1.0,27.0,27.0,6.426942397829455,6.1238942557921145,58,58,0.1896551724137936,3.7414965986394657
deeplabv3,9020404_mcp2,12.675438596491228,14.447368421052632,5.0,7.0,2.0,4.0,73.0,75.0,16.500130575791193,15.933574892793706,114,114,1.7719298245614041,13.979238754325266
deeplabv3,9020404_mcp3,16.82882882882883,16.81981981981982,8.0,7.0,4.0,4.0,80.0,78.0,19.831212941634863,19.865402129565283,111,111,0.009009009009009361,0.053533190578160555
