epoch,train_loss,val_loss,val_dice,val_iou
1,0.321902,0.659796,0.361411,0.255601
2,0.142117,0.474471,0.706755,0.563369
3,0.10485,0.117121,0.929475,0.876913
4,0.068305,0.097461,0.937038,0.888595
5,0.059881,0.059796,0.967207,0.938807
6,0.060397,0.046759,0.972489,0.947449
7,0.051825,0.189805,0.872362,0.788167
8,0.04467,0.040234,0.976339,0.954893
9,0.03879,0.035409,0.978654,0.958681
10,0.047777,0.569727,0.76386,0.635038
11,0.040967,0.03659,0.977522,0.956728
12,0.037843,0.040788,0.97526,0.952485
13,0.032258,0.032462,0.980055,0.961431
14,0.031036,0.033368,0.980617,0.962717
15,0.029863,0.032482,0.980821,0.963035
16,0.031882,0.032804,0.979594,0.960811
17,0.030975,0.029822,0.981688,0.964523
18,0.030183,0.037283,0.975812,0.953488
19,0.028621,0.026408,0.983451,0.967758
20,0.02878,0.030955,0.98182,0.964775
21,0.037973,0.049719,0.967711,0.939269
22,0.036794,0.033424,0.978603,0.959208
23,0.028795,0.02999,0.981203,0.963717
24,0.026871,0.029148,0.981849,0.964775
25,0.026748,0.056786,0.967248,0.9383
26,0.027139,0.030755,0.980983,0.963165
27,0.030457,0.027442,0.982457,0.965947
28,0.028143,0.032914,0.97928,0.959882
29,0.029967,0.034827,0.977639,0.957028
30,0.029108,0.037069,0.978956,0.959272
31,0.026571,0.028239,0.982655,0.966305
32,0.025216,0.03885,0.97765,0.956698
33,0.027661,0.029905,0.981356,0.96388
34,0.02937,0.037495,0.975449,0.952942
35,0.036422,0.09676,0.947929,0.907357
36,0.037709,0.036367,0.977723,0.957439
37,0.027738,0.037551,0.975514,0.953248
38,0.02614,0.030424,0.98163,0.964499
39,0.029181,0.030473,0.981492,0.964122
40,0.027417,0.027974,0.982969,0.966822
41,0.024758,0.027623,0.983113,0.9672
42,0.023356,0.026116,0.983953,0.968796
43,0.023237,0.027119,0.983118,0.967239
44,0.022805,0.027416,0.983349,0.967647
45,0.023139,0.027559,0.983443,0.967835
46,0.022224,0.025948,0.984096,0.969064
47,0.021954,0.026746,0.983842,0.968599
48,0.022804,0.045069,0.97372,0.950153
49,0.024173,0.027231,0.982521,0.966073
50,0.022857,0.030774,0.981621,0.964404
51,0.022737,0.029618,0.981972,0.965065
52,0.022785,0.02841,0.982657,0.966405
53,0.023026,0.030882,0.980528,0.962474
54,0.022701,0.025932,0.98434,0.969539
55,0.020562,0.0272,0.983219,0.967489
56,0.021555,0.026255,0.983546,0.968052
57,0.021747,0.034774,0.97868,0.958984
58,0.022588,0.027033,0.982079,0.965198
59,0.021346,0.025734,0.983918,0.968698
60,0.019971,0.026749,0.983713,0.968352
61,0.01982,0.026654,0.984208,0.969265
62,0.020094,0.025051,0.9843,0.969419
63,0.020182,0.02915,0.981385,0.963754
64,0.022628,0.028143,0.982318,0.965679
65,0.020741,0.028427,0.983397,0.96765
66,0.028428,0.067228,0.96208,0.929461
67,0.03207,0.053997,0.965337,0.936117
68,0.026999,0.04049,0.976167,0.954192
69,0.02395,0.027781,0.982911,0.966797
70,0.020853,0.02716,0.983245,0.967488
71,0.02128,0.032165,0.980327,0.962148
72,0.02088,0.066685,0.959698,0.92567
73,0.021188,0.031147,0.981367,0.964111
74,0.020121,0.02865,0.982974,0.96697
75,0.01869,0.026579,0.984033,0.968949
76,0.018178,0.026154,0.98429,0.969432
77,0.018384,0.025818,0.984709,0.970233
78,0.018292,0.032687,0.981774,0.9647
79,0.017845,0.024348,0.985014,0.97074
80,0.018245,0.028703,0.983389,0.967675
81,0.018138,0.026927,0.983757,0.968409
82,0.017749,0.02628,0.983915,0.968732
83,0.018027,0.028565,0.982941,0.966847
84,0.018204,0.029217,0.983673,0.96836
85,0.017559,0.027723,0.983562,0.968101
86,0.017303,0.029174,0.982791,0.966524
87,0.017254,0.028903,0.983385,0.967758
88,0.016926,0.024918,0.984945,0.970622
89,0.017038,0.026725,0.984431,0.969684
90,0.017161,0.025549,0.984977,0.970741
91,0.016792,0.028168,0.983445,0.967812
92,0.016694,0.028052,0.982697,0.966503
93,0.016417,0.035115,0.980595,0.962406
94,0.016411,0.026376,0.983717,0.968228
95,0.017474,0.028155,0.983794,0.968545
96,0.016693,0.026505,0.984216,0.969257
97,0.016714,0.028758,0.982973,0.967001
98,0.01872,0.033227,0.980759,0.962811
99,0.020592,0.340682,0.874757,0.792971
100,0.04764,0.049507,0.971136,0.94577
