epoch,train_loss,val_loss,val_dice,val_iou
1,0.61322,0.765168,0.43418,0.317147
2,0.39235,0.756882,0.33967,0.23153
3,0.297544,0.532908,0.67025,0.530848
4,0.255342,0.495344,0.596942,0.481002
5,0.202908,0.631275,0.298293,0.196845
6,0.165776,0.186741,0.89853,0.823046
7,0.156165,0.296088,0.796767,0.675963
8,0.160027,0.181769,0.886374,0.807229
9,0.130992,0.19402,0.878753,0.795886
10,0.122295,0.178041,0.910781,0.849677
11,0.107984,0.086182,0.958543,0.922773
12,0.100076,0.119005,0.92197,0.860909
13,0.089268,0.099964,0.946062,0.903564
14,0.093654,0.146081,0.905002,0.830249
15,0.101896,0.104381,0.935412,0.883357
16,0.107615,0.718838,0.556073,0.416418
17,0.106072,0.20384,0.858976,0.766517
18,0.098882,0.071453,0.956457,0.918536
19,0.080412,0.076817,0.958188,0.923934
20,0.070385,0.062173,0.966299,0.937601
21,0.070002,0.065204,0.962067,0.928457
22,0.075082,0.070698,0.95668,0.919566
23,0.063358,0.066903,0.957314,0.921253
24,0.063699,0.066243,0.962709,0.931907
25,0.061682,0.081852,0.954467,0.922772
26,0.067311,0.076173,0.95588,0.922465
27,0.069107,0.069384,0.954948,0.916435
28,0.060432,0.080395,0.950193,0.906934
29,0.058463,0.059863,0.962784,0.931653
30,0.068079,0.132614,0.9033,0.828935
31,0.07138,0.069757,0.959201,0.924704
32,0.079491,0.074762,0.952123,0.911954
33,0.064304,0.054665,0.968073,0.940481
34,0.05764,0.046841,0.974066,0.9513
35,0.05724,0.049228,0.973955,0.951507
36,0.056433,0.044655,0.974613,0.952053
37,0.055515,0.04495,0.974144,0.951456
38,0.053163,0.044161,0.975024,0.953392
39,0.053599,0.0466,0.972372,0.948372
40,0.052347,0.047138,0.973562,0.951325
41,0.052224,0.046237,0.973649,0.950845
42,0.049625,0.045899,0.971312,0.946006
43,0.050729,0.041692,0.97408,0.950631
44,0.049139,0.042107,0.974424,0.951451
45,0.049925,0.067047,0.958263,0.921983
46,0.050145,0.047051,0.97325,0.950693
47,0.048034,0.044502,0.972117,0.946848
48,0.05448,0.073715,0.955551,0.916806
49,0.048487,0.055921,0.969723,0.945687
50,0.049543,0.046895,0.97356,0.9509
51,0.04967,0.041425,0.976029,0.954766
52,0.048671,0.045541,0.968873,0.940924
53,0.051565,0.045908,0.973793,0.95082
54,0.050345,0.036989,0.977513,0.956798
55,0.050269,0.116485,0.929819,0.882634
56,0.053084,0.069628,0.956938,0.920609
57,0.052219,0.156895,0.916484,0.849393
58,0.056613,0.041785,0.973122,0.948497
59,0.05298,0.04104,0.971939,0.946366
60,0.05285,0.043945,0.970516,0.943472
61,0.051373,0.08955,0.940293,0.891718
62,0.048103,0.053452,0.970636,0.94509
63,0.063321,0.052116,0.971857,0.947434
64,0.048086,0.06548,0.959929,0.925552
65,0.056446,0.052701,0.968325,0.940032
66,0.049917,0.067827,0.957996,0.922738
67,0.050071,0.059562,0.956551,0.918316
68,0.046596,0.044441,0.97491,0.952823
69,0.043665,0.063203,0.968799,0.942267
70,0.041651,0.045361,0.973229,0.95054
71,0.041612,0.041376,0.973705,0.950741
72,0.041318,0.037954,0.976049,0.954539
73,0.039997,0.041925,0.974204,0.951584
74,0.039573,0.043427,0.973574,0.950898
75,0.04127,0.040283,0.976119,0.954595
76,0.041009,0.040184,0.975453,0.953813
77,0.05175,0.042563,0.975152,0.95298
78,0.040889,0.187052,0.889495,0.807563
79,0.041239,0.05728,0.96449,0.933178
80,0.044132,0.03989,0.97598,0.954009
81,0.055554,0.044186,0.974536,0.951413
82,0.042166,0.045867,0.971772,0.94664
83,0.041061,0.046007,0.972829,0.948227
84,0.051775,0.044476,0.974262,0.951795
85,0.041423,0.037857,0.975512,0.952756
86,0.038903,0.055079,0.965135,0.934717
87,0.036867,0.043488,0.971564,0.946243
88,0.037868,0.043502,0.97336,0.949709
89,0.036176,0.091498,0.949267,0.910389
90,0.041945,0.666434,0.63185,0.477575
91,0.042574,0.08167,0.948419,0.908127
92,0.043531,0.063004,0.962495,0.930585
93,0.040254,0.047724,0.972381,0.948258
94,0.038258,0.060844,0.961959,0.930705
95,0.047772,0.093783,0.945204,0.898848
96,0.042664,0.101321,0.936209,0.885089
97,0.038277,0.04295,0.974431,0.95218
98,0.037678,0.04041,0.974836,0.95256
99,0.035659,0.03933,0.975746,0.953922
100,0.033718,0.038393,0.974205,0.950834
