epoch,train_loss,val_loss,val_dice,val_iou
1,0.371419,0.435016,0.715796,0.601284
2,0.15335,0.351344,0.747959,0.633701
3,0.094231,0.116922,0.92763,0.872191
4,0.089008,0.144787,0.905091,0.835862
5,0.071015,0.107275,0.923193,0.863204
6,0.074857,0.086045,0.948681,0.909587
7,0.057261,0.048903,0.967379,0.938131
8,0.04905,0.073963,0.946884,0.903
9,0.043519,0.042998,0.972166,0.946736
10,0.043131,0.04854,0.966281,0.935884
11,0.041909,0.040622,0.976038,0.953911
12,0.039826,0.046739,0.9658,0.935876
13,0.03681,0.052891,0.962002,0.928736
14,0.045003,0.059595,0.961601,0.927928
15,0.041964,0.034713,0.97777,0.957064
16,0.049303,0.043541,0.972076,0.946983
17,0.039418,0.03933,0.975921,0.953679
18,0.035401,0.035294,0.977922,0.957513
19,0.033626,0.032691,0.979609,0.960556
20,0.034025,0.041106,0.976269,0.954334
21,0.03386,0.041206,0.974949,0.951775
22,0.037423,0.053011,0.96908,0.94177
23,0.039538,0.040141,0.97401,0.94998
24,0.03473,0.036642,0.976437,0.954558
25,0.03308,0.200151,0.895286,0.81915
26,0.03521,0.035419,0.975862,0.95361
27,0.032328,0.038184,0.977301,0.956155
28,0.031573,0.053015,0.967066,0.938891
29,0.030516,0.032192,0.980242,0.961718
30,0.031192,0.033962,0.978279,0.957964
31,0.034218,0.227473,0.860674,0.782998
32,0.044894,0.036429,0.976861,0.955506
33,0.035173,0.041932,0.970865,0.944701
34,0.037968,0.036587,0.978195,0.957908
35,0.033694,0.031241,0.979613,0.960447
36,0.031088,0.030572,0.980266,0.961737
37,0.029244,0.031117,0.979821,0.960862
38,0.028619,0.036567,0.977145,0.955867
39,0.031412,0.048158,0.973612,0.949292
40,0.031157,0.03751,0.977403,0.956361
41,0.029898,0.031763,0.978606,0.958772
42,0.035196,0.040582,0.974637,0.951135
43,0.030578,0.03241,0.978158,0.95777
44,0.02883,0.03241,0.980175,0.961582
45,0.028382,0.031701,0.979514,0.960314
46,0.02811,0.032902,0.978409,0.958428
47,0.030757,0.06258,0.956648,0.924547
48,0.030517,0.03706,0.975585,0.953127
49,0.033841,0.0332,0.978136,0.957601
50,0.031528,0.031943,0.979218,0.959805
51,0.029626,0.029891,0.980925,0.962954
52,0.027098,0.03097,0.980809,0.962733
53,0.026787,0.032582,0.978003,0.957463
54,0.026855,0.031382,0.97986,0.961042
55,0.026307,0.041548,0.972056,0.946872
56,0.027425,0.033416,0.979372,0.960079
57,0.030828,0.031733,0.978467,0.958276
58,0.028901,0.07069,0.956107,0.920185
59,0.027516,0.031125,0.980091,0.961473
60,0.027284,0.030494,0.979973,0.961159
61,0.026245,0.035886,0.977238,0.956187
62,0.024871,0.031843,0.97908,0.95964
63,0.024924,0.031006,0.98017,0.961586
64,0.025437,0.03694,0.974589,0.951867
65,0.026345,0.030588,0.980073,0.961286
66,0.025518,0.029262,0.981679,0.96437
67,0.025368,0.030226,0.981519,0.964079
68,0.026329,0.030219,0.981763,0.964545
69,0.024538,0.031192,0.980704,0.962554
70,0.024415,0.028607,0.981517,0.96405
71,0.023126,0.031947,0.979447,0.960404
72,0.022694,0.032189,0.978584,0.958585
73,0.024496,0.037879,0.976557,0.95467
74,0.025051,0.032558,0.979927,0.961129
75,0.023928,0.028919,0.981741,0.964481
76,0.02306,0.034646,0.979434,0.960151
77,0.027325,0.042293,0.975917,0.953967
78,0.024457,0.030188,0.981767,0.964559
79,0.023265,0.029879,0.980556,0.962262
80,0.023103,0.034623,0.97843,0.958369
81,0.022525,0.029877,0.981011,0.963121
82,0.02546,0.032076,0.978421,0.958262
83,0.025904,0.030368,0.980972,0.963123
84,0.022114,0.028377,0.98153,0.96409
85,0.021508,0.030096,0.98072,0.962685
86,0.021619,0.02978,0.980189,0.961592
87,0.021442,0.029826,0.981077,0.96324
88,0.020987,0.030433,0.980777,0.962663
89,0.020763,0.028722,0.981863,0.964767
90,0.020119,0.028451,0.982279,0.965546
91,0.020813,0.030594,0.980336,0.961916
92,0.020037,0.029572,0.981525,0.964126
93,0.019685,0.027887,0.982011,0.965033
94,0.019657,0.030368,0.981417,0.96393
95,0.020217,0.030141,0.980213,0.961624
96,0.02042,0.028908,0.982095,0.965199
97,0.01946,0.02832,0.981652,0.96433
98,0.019176,0.031058,0.981752,0.96463
99,0.019032,0.028974,0.980974,0.963054
100,0.019728,0.029355,0.981775,0.964592
