epoch,train_loss,val_loss,val_dice,val_iou
1,0.388869,0.309845,0.826767,0.727775
2,0.210664,0.220819,0.863539,0.787415
3,0.165433,0.185773,0.881561,0.817672
4,0.133208,0.171575,0.888735,0.828604
5,0.123272,0.155984,0.888833,0.829849
6,0.112929,0.17722,0.888943,0.829471
7,0.096294,0.160199,0.897405,0.84423
8,0.088555,0.139675,0.902719,0.853273
9,0.079645,0.156022,0.903757,0.855591
10,0.078456,0.148039,0.903207,0.854974
11,0.070892,0.144702,0.910644,0.866973
12,0.065217,0.123889,0.907636,0.861205
13,0.057719,0.126982,0.91414,0.873427
14,0.054987,0.125778,0.914822,0.874373
15,0.052724,0.124189,0.919388,0.881858
16,0.048735,0.12741,0.913962,0.872375
17,0.04829,0.121762,0.92075,0.884554
18,0.045406,0.115377,0.91995,0.882907
19,0.0444,0.125742,0.920244,0.883468
20,0.042736,0.120719,0.921613,0.885624
21,0.041303,0.121245,0.922954,0.888219
22,0.040723,0.119092,0.922991,0.888561
23,0.0413,0.128033,0.922627,0.888144
24,0.049033,0.155465,0.918192,0.881386
25,0.053322,0.12516,0.923889,0.890234
26,0.045229,0.12117,0.917506,0.879477
27,0.041238,0.128862,0.923503,0.889788
28,0.038155,0.121624,0.923878,0.890265
29,0.036491,0.122615,0.926203,0.894742
30,0.035688,0.123944,0.924503,0.891509
31,0.036044,0.130323,0.926778,0.895191
32,0.035502,0.125644,0.925882,0.894138
33,0.034547,0.128139,0.925893,0.89405
34,0.03398,0.122761,0.928448,0.898272
35,0.033575,0.127214,0.926928,0.896128
36,0.0324,0.122972,0.92746,0.896682
37,0.031484,0.123805,0.928368,0.898409
38,0.030774,0.12333,0.927165,0.896223
39,0.030464,0.122691,0.92872,0.899173
40,0.029836,0.120949,0.928496,0.898813
41,0.0302,0.126204,0.92788,0.897567
42,0.029133,0.121693,0.929347,0.900175
43,0.029038,0.128888,0.928266,0.898386
44,0.028548,0.125556,0.928505,0.898783
45,0.029919,0.127992,0.928547,0.898545
46,0.028432,0.125024,0.930203,0.901477
47,0.027667,0.133688,0.928047,0.897952
48,0.027515,0.131373,0.928776,0.899605
49,0.027231,0.139105,0.928567,0.899209
50,0.027378,0.136104,0.928259,0.898603
51,0.026535,0.131714,0.929845,0.901499
52,0.026612,0.132243,0.929475,0.900905
53,0.026516,0.131566,0.929455,0.90083
54,0.026115,0.135278,0.929861,0.901589
55,0.025839,0.132599,0.929704,0.901191
56,0.026054,0.137731,0.930034,0.901942
57,0.025743,0.133472,0.929243,0.900387
58,0.025363,0.130968,0.930546,0.902809
59,0.02515,0.133535,0.929867,0.901414
60,0.024903,0.130144,0.930624,0.902618
61,0.024475,0.13608,0.92921,0.900326
62,0.024619,0.129629,0.931426,0.903781
63,0.024317,0.133546,0.93036,0.902137
64,0.02481,0.134058,0.931542,0.904067
65,0.024231,0.14521,0.93067,0.903141
66,0.024618,0.143043,0.929949,0.901821
67,0.023967,0.134443,0.930719,0.902839
68,0.024025,0.152005,0.929588,0.901112
69,0.024293,0.144069,0.929822,0.901622
70,0.023871,0.131796,0.930765,0.902805
71,0.026393,0.159904,0.930314,0.902132
72,0.025509,0.12816,0.932577,0.905741
73,0.024298,0.1397,0.93116,0.903702
74,0.0235,0.142493,0.931148,0.90384
75,0.022964,0.144122,0.931764,0.904986
76,0.023101,0.13976,0.932009,0.905276
77,0.023189,0.131144,0.932057,0.904906
78,0.022925,0.14154,0.931268,0.903986
79,0.022654,0.122008,0.930942,0.903476
80,0.022571,0.138158,0.932599,0.906056
81,0.023029,0.142261,0.932028,0.905167
82,0.022102,0.13979,0.932402,0.905809
83,0.022708,0.129369,0.931265,0.904128
84,0.02238,0.145963,0.932433,0.906131
85,0.021872,0.142475,0.932079,0.905418
86,0.021931,0.15311,0.931518,0.904496
87,0.022496,0.150371,0.931875,0.905166
88,0.02179,0.152876,0.931584,0.904724
89,0.02223,0.144974,0.930965,0.903544
90,0.021794,0.141947,0.93201,0.905219
91,0.02142,0.145492,0.932988,0.906862
92,0.02142,0.158301,0.931631,0.904863
93,0.021406,0.151751,0.931502,0.904581
94,0.021412,0.148382,0.931942,0.905465
95,0.021254,0.143767,0.931898,0.905143
96,0.020941,0.145499,0.932749,0.906361
97,0.020793,0.140322,0.933602,0.907728
98,0.020914,0.152348,0.931139,0.903656
99,0.02109,0.148224,0.932377,0.906139
100,0.020625,0.150405,0.931649,0.904992
