epoch,train_loss,val_loss,val_dice,val_iou
1,0.613694,0.713106,0.837437,0.728226
2,0.339862,0.352942,0.842389,0.732645
3,0.267109,0.591095,0.729425,0.579276
4,0.223334,0.283055,0.857878,0.754239
5,0.19663,0.18293,0.913897,0.843111
6,0.179172,0.159831,0.92511,0.862531
7,0.168361,0.156184,0.921383,0.856882
8,0.155586,0.145907,0.91354,0.841636
9,0.148586,0.131093,0.926219,0.863489
10,0.130448,0.127298,0.92501,0.861077
11,0.122583,0.126171,0.931621,0.87427
12,0.1177,0.112807,0.934002,0.877191
13,0.119811,0.187914,0.876607,0.791358
14,0.116198,0.180401,0.895493,0.814661
15,0.107498,0.11118,0.93291,0.87622
16,0.097871,0.113971,0.932756,0.877104
17,0.092288,0.093307,0.943403,0.893707
18,0.087897,0.103159,0.929343,0.8687
19,0.084378,0.090284,0.945229,0.896946
20,0.079256,0.099284,0.939934,0.888435
21,0.077233,0.089476,0.940607,0.888441
22,0.071964,0.091194,0.942812,0.893294
23,0.070672,0.091142,0.939222,0.885997
24,0.069816,0.076083,0.951346,0.907585
25,0.068863,0.090182,0.946775,0.900601
26,0.065106,0.083375,0.943557,0.893849
27,0.064286,0.077057,0.949225,0.903964
28,0.075291,0.114736,0.92627,0.865321
29,0.068979,0.083258,0.947142,0.90046
30,0.069854,0.083294,0.949494,0.904197
31,0.072721,0.079206,0.946232,0.89862
32,0.0624,0.071341,0.95337,0.911306
33,0.059932,0.082576,0.949804,0.906851
34,0.056826,0.065335,0.956401,0.916868
35,0.055005,0.070407,0.954507,0.91369
36,0.052729,0.072134,0.952538,0.910343
37,0.052654,0.073612,0.951785,0.909283
38,0.049915,0.072901,0.954423,0.914403
39,0.049452,0.072971,0.952741,0.910691
40,0.05072,0.068078,0.956197,0.916921
41,0.049331,0.067969,0.956484,0.917503
42,0.047508,0.063672,0.957124,0.918293
43,0.047471,0.066191,0.957922,0.920012
44,0.046064,0.064119,0.959211,0.922141
45,0.045136,0.062833,0.958298,0.920512
46,0.045326,0.062223,0.958705,0.920967
47,0.044769,0.060133,0.961036,0.925314
48,0.047596,0.063791,0.957765,0.919573
49,0.047313,0.061114,0.9571,0.918031
50,0.044203,0.059896,0.95859,0.92082
51,0.044403,0.067859,0.958648,0.921514
52,0.04298,0.060833,0.961029,0.925242
53,0.042064,0.059163,0.959884,0.92327
54,0.04108,0.072777,0.955135,0.91673
55,0.042838,0.058738,0.960754,0.924686
56,0.04059,0.057308,0.962671,0.928253
57,0.040682,0.060151,0.961054,0.925256
58,0.039773,0.058013,0.961934,0.927162
59,0.040073,0.055529,0.96309,0.929028
60,0.038561,0.056629,0.9624,0.927793
61,0.039675,0.059497,0.96098,0.925369
62,0.039555,0.059935,0.962248,0.927648
63,0.037381,0.056209,0.961725,0.926558
64,0.037233,0.061915,0.961403,0.926374
65,0.0369,0.06276,0.960788,0.925274
66,0.035957,0.057802,0.962305,0.927698
67,0.03647,0.057093,0.963948,0.930751
68,0.035924,0.056852,0.962943,0.92879
69,0.03504,0.055548,0.964621,0.932226
70,0.034441,0.056133,0.962994,0.929061
71,0.03429,0.058523,0.962135,0.927623
72,0.03438,0.058545,0.963495,0.930141
73,0.033441,0.059137,0.962386,0.928108
74,0.033466,0.056303,0.963963,0.930847
75,0.033167,0.057819,0.96322,0.929401
76,0.033839,0.054383,0.965134,0.932898
77,0.033113,0.055631,0.964467,0.931645
78,0.032807,0.056823,0.963551,0.930078
79,0.032822,0.056037,0.963873,0.930698
80,0.033578,0.05512,0.965963,0.934397
81,0.033185,0.053977,0.964681,0.932124
82,0.033544,0.056128,0.965481,0.933509
83,0.031763,0.054062,0.966468,0.93531
84,0.032285,0.053269,0.965611,0.933691
85,0.032075,0.055069,0.964569,0.931947
86,0.031066,0.054918,0.965443,0.933611
87,0.031197,0.05494,0.96603,0.934544
88,0.030863,0.055371,0.966823,0.936001
89,0.036793,0.055347,0.96476,0.932265
90,0.031326,0.055176,0.964964,0.932507
91,0.032113,0.05493,0.964232,0.9312
92,0.031462,0.05514,0.966627,0.935608
93,0.030635,0.053285,0.967044,0.936462
94,0.030144,0.051469,0.966894,0.936102
95,0.029891,0.051753,0.96755,0.937336
96,0.030215,0.059363,0.965631,0.933771
97,0.030549,0.056779,0.964284,0.931357
98,0.029704,0.052656,0.967754,0.937713
99,0.029757,0.055462,0.964818,0.932358
100,0.028702,0.052444,0.966246,0.934965
