epoch,train_loss,val_loss,val_dice,val_iou
1,0.415292,0.338747,0.825407,0.709264
2,0.219237,0.187096,0.898736,0.819781
3,0.163622,0.180184,0.897173,0.819317
4,0.127131,0.117874,0.930122,0.870659
5,0.107333,0.105286,0.937242,0.883486
6,0.092303,0.101767,0.933866,0.877737
7,0.087947,0.102442,0.936224,0.882284
8,0.07815,0.092049,0.940168,0.889253
9,0.070737,0.078391,0.948492,0.903249
10,0.064922,0.107122,0.921373,0.865221
11,0.061367,0.06597,0.956388,0.917374
12,0.055473,0.064754,0.957198,0.919054
13,0.050572,0.06065,0.959504,0.92316
14,0.048994,0.062973,0.953835,0.912936
15,0.04564,0.061981,0.956346,0.918191
16,0.044558,0.057511,0.963007,0.929433
17,0.042643,0.059628,0.955311,0.91598
18,0.041908,0.262069,0.7729,0.671978
19,0.045126,0.060245,0.960753,0.925483
20,0.039336,0.053338,0.964975,0.933038
21,0.036636,0.049843,0.966342,0.93543
22,0.036282,0.049426,0.967298,0.937279
23,0.034695,0.050298,0.964612,0.932473
24,0.033919,0.050223,0.965073,0.933135
25,0.032963,0.050386,0.966369,0.935609
26,0.03161,0.048696,0.966146,0.935099
27,0.031287,0.048411,0.966876,0.936437
28,0.030778,0.049791,0.968405,0.939352
29,0.029785,0.050693,0.968211,0.939036
30,0.029352,0.046227,0.968278,0.939043
31,0.028719,0.045199,0.969864,0.941995
32,0.02816,0.048146,0.967728,0.938039
33,0.027538,0.045247,0.970263,0.942762
34,0.026948,0.045294,0.97018,0.942629
35,0.026603,0.045525,0.970926,0.944039
36,0.026189,0.045407,0.971023,0.944223
37,0.025583,0.04614,0.971289,0.944749
38,0.026496,0.046436,0.969739,0.941769
39,0.028046,0.048581,0.967089,0.93696
40,0.027966,0.045714,0.969254,0.940823
41,0.025475,0.046507,0.971097,0.944327
42,0.023989,0.045766,0.97062,0.943437
43,0.023554,0.044137,0.970964,0.944125
44,0.023158,0.044513,0.972159,0.946285
45,0.022757,0.043462,0.971842,0.945813
46,0.022554,0.043276,0.972551,0.947043
47,0.02233,0.045417,0.971216,0.944901
48,0.022204,0.043958,0.97217,0.946374
49,0.021469,0.043387,0.972484,0.94696
50,0.021203,0.043119,0.972499,0.946996
51,0.021407,0.044173,0.972596,0.947214
52,0.02098,0.043618,0.972787,0.947686
53,0.020604,0.043228,0.972373,0.946789
54,0.020392,0.042265,0.973712,0.949259
55,0.020671,0.043274,0.973173,0.9483
56,0.020414,0.045211,0.973321,0.948561
57,0.02016,0.043635,0.972643,0.947285
58,0.020219,0.042288,0.974032,0.949873
59,0.019492,0.044808,0.973655,0.949141
60,0.019766,0.044474,0.974058,0.949903
61,0.020384,0.044434,0.974478,0.950702
62,0.019803,0.043535,0.97437,0.950495
63,0.019482,0.043594,0.974098,0.949991
64,0.018814,0.043631,0.972,0.946011
65,0.018212,0.044108,0.972995,0.948002
66,0.018269,0.043641,0.974014,0.949849
67,0.017975,0.042352,0.974912,0.951512
68,0.017713,0.04354,0.97458,0.950878
69,0.017688,0.043626,0.974203,0.95018
70,0.017718,0.044206,0.974919,0.95154
71,0.01759,0.04356,0.973898,0.949605
72,0.017257,0.04474,0.974239,0.950311
73,0.017348,0.042999,0.974059,0.949931
74,0.01906,0.043891,0.974576,0.950898
75,0.017537,0.044979,0.975185,0.952027
76,0.017711,0.045127,0.973065,0.948098
77,0.017446,0.0431,0.974669,0.951043
78,0.017076,0.043812,0.974785,0.951295
79,0.016684,0.043807,0.974514,0.950827
80,0.016639,0.044612,0.975161,0.952014
81,0.01663,0.04441,0.974534,0.950855
82,0.016817,0.042414,0.975862,0.953304
83,0.016804,0.044258,0.975267,0.952182
84,0.016566,0.043068,0.975505,0.952578
85,0.016437,0.043374,0.974917,0.951551
86,0.016259,0.044245,0.975905,0.953408
87,0.016205,0.044254,0.975965,0.953471
88,0.016297,0.042583,0.975829,0.953243
89,0.01588,0.044477,0.975919,0.95341
90,0.01565,0.043396,0.974747,0.951185
91,0.015786,0.042822,0.975917,0.953423
92,0.015634,0.04358,0.975964,0.953523
93,0.015343,0.044008,0.974519,0.950786
94,0.015586,0.044535,0.975417,0.952444
95,0.015411,0.042953,0.974598,0.950952
96,0.015559,0.044824,0.974047,0.949933
97,0.015217,0.042811,0.975728,0.953103
98,0.015373,0.043904,0.975462,0.95258
99,0.015387,0.043332,0.975402,0.952539
100,0.015264,0.044647,0.975812,0.953247
