epoch,train_loss,val_loss,val_dice,val_iou
1,0.353,0.508721,0.649937,0.545545
2,0.185278,0.307614,0.807998,0.73347
3,0.127852,0.361865,0.773812,0.691208
4,0.100526,0.152479,0.899611,0.854641
5,0.097008,0.154442,0.903525,0.855615
6,0.072993,0.144315,0.905032,0.866498
7,0.070196,0.1313,0.911422,0.869343
8,0.07041,0.119537,0.92083,0.885497
9,0.062937,0.110088,0.928254,0.898879
10,0.060742,0.138803,0.91194,0.87141
11,0.061309,0.119534,0.923065,0.88972
12,0.055194,0.11909,0.921153,0.886878
13,0.054785,0.106447,0.925905,0.894617
14,0.053748,0.122467,0.926058,0.895591
15,0.061525,0.122673,0.917861,0.881728
16,0.052291,0.136383,0.908466,0.864248
17,0.069577,0.137021,0.917259,0.879938
18,0.062218,0.291354,0.863401,0.799234
19,0.058895,0.10539,0.929655,0.901686
20,0.058938,0.135147,0.912963,0.872885
21,0.053416,0.096827,0.930997,0.904768
22,0.049602,0.093352,0.933798,0.908842
23,0.051863,0.097171,0.934142,0.909361
24,0.049096,0.130388,0.920086,0.885521
25,0.047217,0.097511,0.931911,0.905073
26,0.047613,0.165048,0.901631,0.854073
27,0.055053,0.096788,0.932288,0.907405
28,0.048954,0.099154,0.9305,0.903876
29,0.046282,0.097211,0.929394,0.902051
30,0.044422,0.107042,0.931501,0.905919
31,0.046397,0.107026,0.930589,0.904512
32,0.042818,0.099329,0.933177,0.908927
33,0.038824,0.105923,0.931972,0.906084
34,0.040189,0.097059,0.931299,0.904059
35,0.051382,0.129346,0.927695,0.897848
36,0.054953,0.111953,0.926544,0.895948
37,0.048371,0.143034,0.907539,0.863944
38,0.049621,0.102365,0.930159,0.903052
39,0.043858,0.096551,0.932285,0.906641
40,0.040163,0.102364,0.928549,0.899125
41,0.036159,0.102474,0.932334,0.906305
42,0.036044,0.100595,0.937807,0.915595
43,0.033462,0.105375,0.934336,0.909106
44,0.032643,0.122781,0.92031,0.887159
45,0.042399,0.147832,0.923234,0.889981
46,0.044157,0.103424,0.927142,0.897764
47,0.037963,0.134531,0.921068,0.887157
48,0.04095,0.096623,0.935193,0.910964
49,0.037723,0.226499,0.850028,0.771903
50,0.037402,0.10998,0.925675,0.894007
51,0.036535,0.100474,0.936796,0.913808
52,0.030611,0.111357,0.934834,0.910987
53,0.02979,0.106379,0.936966,0.914553
54,0.029073,0.106888,0.936236,0.913445
55,0.028289,0.1139,0.936367,0.913513
56,0.028119,0.115644,0.936413,0.91355
57,0.028244,0.117515,0.935929,0.912755
58,0.028571,0.115535,0.935352,0.911737
59,0.027817,0.117534,0.935767,0.91266
60,0.028019,0.115635,0.935446,0.912032
61,0.027244,0.118651,0.935425,0.911883
62,0.027527,0.114674,0.93493,0.911013
63,0.027841,0.120386,0.938656,0.917149
64,0.031974,0.125363,0.92935,0.900175
65,0.045686,0.114782,0.919387,0.88381
66,0.044212,0.113922,0.928436,0.898911
67,0.042044,0.123528,0.915562,0.877471
68,0.034657,0.093111,0.937285,0.914797
69,0.029914,0.093708,0.938646,0.916614
70,0.028322,0.102428,0.937523,0.915301
71,0.028488,0.108615,0.934553,0.909668
72,0.029979,0.216123,0.903809,0.858538
73,0.047064,0.117516,0.928743,0.899425
74,0.038099,0.103719,0.929741,0.901802
75,0.030339,0.108895,0.935644,0.912136
76,0.028693,0.10413,0.938136,0.916166
77,0.027811,0.108244,0.937969,0.916312
78,0.027304,0.113759,0.934873,0.910412
79,0.02716,0.111258,0.937871,0.916017
80,0.026706,0.115325,0.937132,0.914885
81,0.027266,0.110456,0.937267,0.914912
82,0.026388,0.11503,0.9377,0.915761
83,0.026891,0.143147,0.914825,0.87514
84,0.031476,0.123145,0.937857,0.91609
85,0.028672,0.120198,0.936417,0.913719
86,0.027509,0.112654,0.935703,0.911994
87,0.026237,0.124064,0.937515,0.915856
88,0.025934,0.122715,0.938208,0.916956
89,0.02557,0.1292,0.936837,0.914581
90,0.025389,0.128114,0.937413,0.915211
91,0.025585,0.123045,0.937406,0.915358
92,0.025481,0.126073,0.93905,0.918353
93,0.025578,0.114845,0.940118,0.92006
94,0.024765,0.12221,0.938066,0.916446
95,0.024881,0.12821,0.937101,0.914875
96,0.025754,0.124623,0.938507,0.917409
97,0.024797,0.132748,0.936747,0.914082
98,0.024946,0.121555,0.938609,0.917532
99,0.025054,0.132397,0.938911,0.917995
100,0.024372,0.131463,0.938275,0.916935
