epoch,train_loss,val_loss,val_dice,val_iou
1,0.568998,0.77651,0.376431,0.269935
2,0.325114,0.628191,0.447225,0.340947
3,0.246022,0.552016,0.633739,0.545918
4,0.197782,0.444017,0.712046,0.587771
5,0.18036,0.396156,0.699542,0.592592
6,0.166515,0.308829,0.811631,0.705798
7,0.143298,0.319589,0.798032,0.685167
8,0.115726,0.176967,0.909392,0.855382
9,0.125382,0.63193,0.576698,0.416923
10,0.126726,0.131748,0.918115,0.861518
11,0.105933,0.151483,0.897777,0.820511
12,0.09365,0.075367,0.95851,0.921837
13,0.080288,0.104038,0.929312,0.872453
14,0.099633,0.155353,0.919966,0.858264
15,0.08279,0.167021,0.906235,0.845918
16,0.079023,0.095527,0.946208,0.905068
17,0.073059,0.07192,0.960567,0.928552
18,0.086094,0.064693,0.963751,0.932763
19,0.064142,0.055905,0.962361,0.928708
20,0.06723,0.055774,0.971143,0.944734
21,0.071858,0.149014,0.912226,0.85081
22,0.064391,0.077044,0.95499,0.921307
23,0.073687,0.069038,0.959622,0.926502
24,0.062412,0.068215,0.957314,0.922134
25,0.06146,0.088006,0.958101,0.922545
26,0.066329,0.062858,0.958933,0.924438
27,0.076274,0.062587,0.963732,0.932215
28,0.05956,0.050095,0.969657,0.943325
29,0.059618,0.04442,0.973818,0.950359
30,0.053187,0.045779,0.974811,0.952186
31,0.068147,0.045,0.974651,0.952001
32,0.049545,0.051363,0.968564,0.940984
33,0.050239,0.040239,0.976988,0.956046
34,0.050745,0.068353,0.960307,0.925967
35,0.047812,0.044262,0.975484,0.953708
36,0.044364,0.039459,0.975861,0.953839
37,0.045343,0.046259,0.970742,0.944415
38,0.053259,0.055596,0.966675,0.937106
39,0.053723,0.060562,0.967065,0.939686
40,0.050617,0.052672,0.965209,0.934106
41,0.050647,0.03997,0.976193,0.954294
42,0.053686,0.039039,0.97437,0.950674
43,0.049816,0.037153,0.976859,0.955411
44,0.051568,0.097775,0.940173,0.892075
45,0.045023,0.051248,0.969967,0.943162
46,0.04572,0.040559,0.977231,0.956293
47,0.04659,0.063661,0.959658,0.92391
48,0.041069,0.035745,0.97743,0.956267
49,0.042221,0.037292,0.975202,0.952074
50,0.044784,0.036479,0.977798,0.957206
51,0.043753,0.058794,0.96714,0.939679
52,0.041723,0.04865,0.968952,0.940685
53,0.0499,0.03963,0.975097,0.951994
54,0.039621,0.051519,0.971628,0.94645
55,0.04081,0.048174,0.967956,0.9389
56,0.038402,0.043825,0.976059,0.954135
57,0.039492,0.052625,0.96926,0.941462
58,0.035938,0.049592,0.967484,0.938141
59,0.043166,0.17239,0.903412,0.829226
60,0.049016,0.050429,0.968335,0.940635
61,0.044164,0.122385,0.928516,0.872621
62,0.038746,0.041717,0.974944,0.952294
63,0.036433,0.038894,0.976394,0.954678
64,0.03756,0.056739,0.968986,0.942195
65,0.035814,0.037636,0.976731,0.955106
66,0.034059,0.039051,0.976026,0.954123
67,0.033893,0.037931,0.977206,0.956473
68,0.033624,0.037837,0.977314,0.956538
69,0.037218,0.047013,0.972396,0.948683
70,0.037699,0.042586,0.97415,0.951545
71,0.038721,0.048916,0.967506,0.938489
72,0.035125,0.043,0.974436,0.951515
73,0.034661,0.048339,0.973038,0.947961
74,0.040858,0.084896,0.94115,0.892967
75,0.03907,0.043764,0.97231,0.947516
76,0.0357,0.033843,0.979251,0.959754
77,0.033335,0.034083,0.97757,0.956403
78,0.03319,0.031324,0.979096,0.959287
79,0.032782,0.031418,0.980651,0.962311
80,0.031334,0.034332,0.980127,0.961351
81,0.03388,0.034332,0.978561,0.958326
82,0.038853,0.032916,0.978025,0.957415
83,0.032354,0.034778,0.977516,0.956896
84,0.031851,0.033288,0.979393,0.960008
85,0.030559,0.033305,0.979592,0.96046
86,0.030482,0.033762,0.979421,0.959973
87,0.030649,0.036677,0.976676,0.954825
88,0.038162,0.032414,0.97956,0.96042
89,0.031635,0.035051,0.979354,0.960144
90,0.031234,0.032705,0.978164,0.957755
91,0.029692,0.033573,0.979844,0.960987
92,0.030824,0.035459,0.977328,0.956252
93,0.029428,0.039731,0.974863,0.951803
94,0.028956,0.032702,0.97987,0.961136
95,0.032186,0.036576,0.976687,0.955067
96,0.032009,0.044319,0.973564,0.949624
97,0.031274,0.038493,0.974946,0.951874
98,0.031973,0.408001,0.781421,0.671129
99,0.085662,3.282668,0.254526,0.161
100,0.113539,1.105881,0.313102,0.211462
