epoch,train_loss,val_loss,val_dice,val_iou
1,0.371607,0.595395,0.522052,0.415555
2,0.154761,0.149218,0.910999,0.846287
3,0.101538,0.14629,0.900432,0.836327
4,0.095821,0.116068,0.915685,0.852713
5,0.078273,0.189053,0.857764,0.769232
6,0.058809,0.063491,0.960441,0.926516
7,0.056929,0.061578,0.958215,0.921476
8,0.047305,0.05056,0.968296,0.939988
9,0.043147,0.0464,0.973736,0.949708
10,0.045087,0.044235,0.968914,0.942079
11,0.042017,0.034788,0.978133,0.957746
12,0.037263,0.042523,0.975306,0.952612
13,0.037347,0.048461,0.973039,0.948508
14,0.04212,0.058609,0.959206,0.924612
15,0.038316,0.035072,0.97831,0.958023
16,0.035707,0.033259,0.978908,0.959203
17,0.033677,0.035096,0.978446,0.958232
18,0.032467,0.120083,0.930961,0.876998
19,0.041325,0.059868,0.958855,0.924046
20,0.036986,0.039005,0.975194,0.952241
21,0.03587,0.399074,0.803105,0.685345
22,0.05029,0.052378,0.965049,0.935126
23,0.043916,0.056996,0.964741,0.934122
24,0.036322,0.034938,0.977675,0.956966
25,0.034956,0.033295,0.97871,0.958896
26,0.033529,0.03419,0.976281,0.954599
27,0.031093,0.073727,0.95753,0.924055
28,0.031181,0.030677,0.979454,0.960195
29,0.030394,0.032094,0.979962,0.961041
30,0.029314,0.030753,0.980179,0.961546
31,0.029884,0.030921,0.98059,0.962349
32,0.030413,0.030911,0.979958,0.961023
33,0.029702,0.030408,0.981426,0.963862
34,0.028765,0.030545,0.980787,0.962635
35,0.028664,0.036606,0.977023,0.955831
36,0.027622,0.031043,0.980703,0.962515
37,0.026346,0.033208,0.979004,0.959302
38,0.027266,0.03876,0.974668,0.951235
39,0.027812,0.035375,0.976202,0.954879
40,0.025987,0.034109,0.978873,0.959085
41,0.027055,0.052979,0.965921,0.936525
42,0.027763,0.0313,0.980795,0.962711
43,0.030375,0.031799,0.981163,0.963376
44,0.027647,0.049127,0.970243,0.944562
45,0.027222,0.032668,0.978883,0.959035
46,0.026238,0.082283,0.950469,0.915619
47,0.026654,0.03567,0.976671,0.95495
48,0.029834,0.044586,0.971628,0.946949
49,0.031423,0.294377,0.811675,0.694728
50,0.034202,0.039165,0.973552,0.949632
51,0.028657,0.048937,0.967768,0.938825
52,0.029777,0.042364,0.975256,0.95236
53,0.030219,0.040554,0.974924,0.95286
54,0.028637,0.030727,0.980601,0.962329
55,0.027601,0.032058,0.980121,0.96137
56,0.026509,0.029942,0.979639,0.960536
57,0.024813,0.02942,0.981589,0.964208
58,0.025214,0.037556,0.977078,0.955699
59,0.028263,0.110287,0.934773,0.888355
60,0.032296,0.04617,0.969923,0.943318
61,0.034021,0.056197,0.960138,0.926677
62,0.031375,0.030908,0.97934,0.959996
63,0.0292,0.034824,0.979621,0.960466
64,0.026215,0.029117,0.981083,0.963197
65,0.025142,0.030214,0.980344,0.961829
66,0.023829,0.029595,0.981503,0.964023
67,0.023253,0.029443,0.981071,0.963188
68,0.022391,0.028573,0.981586,0.964176
69,0.023393,0.028827,0.982208,0.965386
70,0.023349,0.029048,0.981601,0.964213
71,0.025135,0.033673,0.977011,0.956137
72,0.026552,0.039734,0.976352,0.954651
73,0.028902,0.02937,0.98119,0.963413
74,0.026849,0.106572,0.940886,0.894489
75,0.030611,0.031917,0.978973,0.959203
76,0.025658,0.031407,0.980247,0.961664
77,0.023154,0.031705,0.978829,0.959101
78,0.023207,0.029601,0.980755,0.962612
79,0.022974,0.030105,0.980135,0.961426
80,0.022639,0.029911,0.981343,0.963699
81,0.021951,0.028726,0.981735,0.964454
82,0.021267,0.028863,0.982556,0.966023
83,0.021918,0.028743,0.982267,0.96548
84,0.021231,0.028304,0.982174,0.965298
85,0.021791,0.028021,0.982974,0.966841
86,0.021449,0.028134,0.982039,0.965045
87,0.021159,0.029395,0.981296,0.963658
88,0.021829,0.029623,0.981347,0.963729
89,0.020816,0.0282,0.98173,0.964454
90,0.020461,0.027922,0.981982,0.964935
91,0.02072,0.029196,0.981776,0.964551
92,0.020494,0.028839,0.982401,0.965745
93,0.020516,0.027968,0.982326,0.965581
94,0.020137,0.028889,0.981829,0.964641
95,0.020453,0.027429,0.982502,0.965922
96,0.019707,0.028934,0.982379,0.965698
97,0.020156,0.031362,0.980971,0.963002
98,0.02191,0.04348,0.975055,0.95199
99,0.030301,0.070834,0.958033,0.92482
100,0.027253,0.035895,0.978034,0.957519
