epoch,train_loss,val_loss,val_dice,val_iou
1,0.546413,0.641742,0.851922,0.742042
2,0.315951,0.626178,0.716026,0.557664
3,0.24617,0.584006,0.919852,0.851599
4,0.312649,0.573884,0.894626,0.809342
5,0.232119,0.484919,0.889363,0.800769
6,0.253063,0.436289,0.781313,0.64111
7,0.245662,0.485567,0.439733,0.281832
8,0.196,0.396927,0.798706,0.664872
9,0.182259,0.384119,0.742952,0.591029
10,0.192309,0.471579,0.702783,0.541762
11,0.185486,0.400663,0.743155,0.591286
12,0.178899,0.417908,0.740291,0.587668
13,0.188978,0.596381,0.704905,0.544289
14,0.16588,0.391158,0.761424,0.614757
15,0.154758,0.792668,0.640929,0.471594
16,0.131292,0.946011,0.624312,0.453818
17,0.136487,0.569305,0.71449,0.555802
18,0.144008,0.53489,0.680637,0.515883
19,0.116793,0.49897,0.727714,0.571973
20,0.109464,0.492416,0.757255,0.60934
21,0.109372,0.462342,0.728113,0.572467
22,0.098295,0.434299,0.629604,0.459432
23,0.114225,0.349746,0.702206,0.541076
24,0.098423,0.329503,0.741261,0.588892
25,0.103809,0.267777,0.817356,0.691126
26,0.095843,0.199813,0.895295,0.810438
27,0.088244,0.17596,0.915831,0.844731
28,0.106548,0.191863,0.917989,0.84841
29,0.088601,0.177553,0.925454,0.861252
30,0.091623,0.261631,0.853397,0.744283
31,0.081955,0.294684,0.815043,0.687825
32,0.081096,0.200109,0.873877,0.776006
33,0.079626,0.138891,0.953261,0.910696
34,0.076172,0.123682,0.959783,0.922676
35,0.073477,0.116604,0.960705,0.924382
36,0.064024,0.118523,0.951906,0.908226
37,0.088301,0.142296,0.932362,0.873293
38,0.098939,0.139227,0.929796,0.868803
39,0.07169,0.123087,0.936886,0.881265
40,0.067461,0.098904,0.956027,0.915758
41,0.067163,0.08085,0.966429,0.935038
42,0.063863,0.068939,0.97335,0.948083
43,0.062355,0.069115,0.971509,0.944596
44,0.067433,0.072214,0.967807,0.937621
45,0.060336,0.076802,0.963351,0.929293
46,0.093211,0.087447,0.957536,0.918532
47,0.056116,0.10737,0.948961,0.902879
48,0.059751,0.129483,0.934318,0.876733
49,0.069328,0.102572,0.94689,0.899137
50,0.055782,0.086939,0.954806,0.913521
51,0.060368,0.076249,0.962306,0.927351
52,0.059029,0.076931,0.965272,0.932874
53,0.052887,0.074167,0.96714,0.936371
54,0.062703,0.061274,0.972836,0.947109
55,0.070965,0.056616,0.974953,0.951129
56,0.051168,0.064527,0.968593,0.939099
57,0.0457,0.070294,0.965626,0.933536
58,0.048796,0.074634,0.96134,0.925559
59,0.049893,0.082933,0.955227,0.914292
60,0.048506,0.086581,0.951559,0.907594
61,0.046787,0.087015,0.951147,0.906844
62,0.065418,0.08061,0.951837,0.908101
63,0.049862,0.066693,0.966514,0.935197
64,0.04377,0.079178,0.952521,0.909346
65,0.043507,0.085277,0.947227,0.899744
66,0.042076,0.087718,0.942025,0.890404
67,0.046995,0.0762,0.951078,0.90672
68,0.045279,0.060096,0.964214,0.930901
69,0.041467,0.051308,0.97098,0.943597
70,0.039904,0.04818,0.972995,0.947411
71,0.039016,0.048346,0.973219,0.947835
72,0.038612,0.049675,0.973399,0.948176
73,0.037505,0.051109,0.973229,0.947855
74,0.043541,0.051264,0.974207,0.949712
75,0.037412,0.048257,0.97506,0.951334
76,0.039306,0.046092,0.975039,0.951293
77,0.038759,0.048411,0.972087,0.945691
78,0.036361,0.054238,0.968032,0.938045
79,0.045973,0.060178,0.964999,0.932364
80,0.037466,0.05412,0.969379,0.940578
81,0.034378,0.046879,0.974214,0.949724
82,0.031468,0.045493,0.975022,0.951261
83,0.033441,0.046491,0.973608,0.948573
84,0.033833,0.045256,0.974201,0.949699
85,0.02993,0.044189,0.974638,0.95053
86,0.03586,0.042089,0.976585,0.954242
87,0.029272,0.040035,0.977149,0.955319
88,0.031343,0.03796,0.979305,0.959448
89,0.03157,0.037882,0.978634,0.958163
90,0.030062,0.038614,0.978235,0.957397
91,0.02978,0.039605,0.977628,0.956235
92,0.029044,0.038737,0.977846,0.956652
93,0.027471,0.039882,0.977169,0.955357
94,0.027015,0.041379,0.976544,0.954162
95,0.027621,0.040346,0.977263,0.955536
96,0.030527,0.037488,0.979502,0.959827
97,0.027932,0.036604,0.980123,0.961021
98,0.026801,0.03609,0.980604,0.961947
99,0.02626,0.035014,0.981248,0.963186
100,0.026386,0.035005,0.981393,0.963466
