epoch,train_loss,val_loss,val_dice,val_iou
1,0.404653,0.505847,0.76837,0.626666
2,0.309907,0.351769,0.925304,0.86266
3,0.26196,0.263104,0.934037,0.876771
4,0.219411,0.283159,0.850491,0.740269
5,0.188017,0.200438,0.893796,0.808311
6,0.172755,0.165356,0.95121,0.907168
7,0.159292,0.192496,0.907496,0.830927
8,0.13428,0.243827,0.883146,0.791124
9,0.120375,0.157122,0.928312,0.866408
10,0.120892,0.102574,0.96996,0.941798
11,0.137782,0.148875,0.933127,0.87685
12,0.15678,0.145121,0.935351,0.87896
13,0.112144,0.111919,0.950218,0.906156
14,0.106935,0.113302,0.945737,0.898104
15,0.11966,0.081147,0.962401,0.928096
16,0.102799,0.060842,0.975345,0.951928
17,0.08937,0.06014,0.975685,0.952579
18,0.083149,0.06417,0.976076,0.953388
19,0.069173,0.057173,0.97984,0.960512
20,0.066823,0.057372,0.976696,0.954516
21,0.079007,0.055522,0.976912,0.954964
22,0.073901,0.066615,0.970354,0.942736
23,0.08907,0.052359,0.977835,0.956776
24,0.07488,0.135734,0.940616,0.88807
25,0.062833,0.063811,0.975213,0.951704
26,0.057437,0.067633,0.970625,0.943157
27,0.081096,0.097418,0.956431,0.917728
28,0.072416,0.059324,0.973375,0.948465
29,0.063947,0.095173,0.950012,0.90635
30,0.066762,0.063516,0.968753,0.939427
31,0.055666,0.041653,0.981381,0.963461
32,0.051885,0.044351,0.979731,0.960332
33,0.048408,0.046252,0.978836,0.958589
34,0.047236,0.047601,0.978554,0.958063
35,0.127243,0.048175,0.977655,0.956321
36,0.069226,0.063316,0.969294,0.940864
37,0.056043,0.063838,0.970063,0.942139
38,0.054396,0.054255,0.974361,0.950249
39,0.04997,0.05271,0.97579,0.952758
40,0.044863,0.044448,0.979109,0.959142
41,0.042514,0.045639,0.97852,0.958004
42,0.037982,0.04573,0.979071,0.959059
43,0.037679,0.045603,0.978732,0.958424
44,0.03536,0.043475,0.979526,0.959919
45,0.070535,0.048524,0.976429,0.953998
46,0.097174,0.405997,0.731313,0.577034
47,0.061647,0.081869,0.955637,0.915059
48,0.047434,0.079211,0.967369,0.9368
49,0.037589,0.0604,0.971973,0.94549
50,0.044514,0.043873,0.979403,0.959708
51,0.037482,0.040041,0.980791,0.962362
52,0.036683,0.038697,0.981487,0.963692
53,0.036402,0.037632,0.981312,0.963342
54,0.033847,0.043402,0.978957,0.958859
55,0.036375,0.043391,0.979103,0.959162
56,0.034037,0.043995,0.978861,0.95868
57,0.031981,0.041592,0.980138,0.961111
58,0.03178,0.039135,0.980462,0.961723
59,0.030318,0.048525,0.975118,0.951455
60,0.034024,0.043712,0.979262,0.959458
61,0.033396,0.041204,0.979867,0.960583
62,0.031091,0.039224,0.980485,0.961758
63,0.032484,0.039238,0.980608,0.962001
64,0.031866,0.044175,0.979933,0.960698
65,0.034821,0.044351,0.978013,0.957064
66,0.033124,0.04331,0.97966,0.960202
67,0.032987,0.046313,0.979214,0.959331
68,0.030732,0.04366,0.978619,0.958224
69,0.02965,0.041983,0.979609,0.960099
70,0.028975,0.040672,0.980047,0.960947
71,0.029024,0.040811,0.980026,0.960892
72,0.0284,0.041442,0.980405,0.961636
73,0.0272,0.043027,0.980458,0.961732
74,0.054713,0.099689,0.953811,0.911994
75,0.076815,0.045558,0.977427,0.955908
76,0.045113,0.165191,0.909621,0.837193
77,0.056064,0.725267,0.536629,0.369086
78,0.038385,0.166809,0.90322,0.82361
79,0.049519,0.046516,0.97682,0.954838
80,0.032704,0.042183,0.978506,0.95801
81,0.032002,0.039381,0.980287,0.961393
82,0.030977,0.033782,0.982095,0.96484
83,0.038388,0.035023,0.981517,0.963723
84,0.03671,0.04212,0.978256,0.95749
85,0.034212,0.040577,0.979514,0.959905
86,0.029731,0.038838,0.980936,0.962618
87,0.029251,0.03882,0.98062,0.962023
88,0.028685,0.040169,0.980252,0.961322
89,0.027892,0.040571,0.980297,0.961417
90,0.028999,0.04076,0.979873,0.960582
91,0.02841,0.040858,0.980418,0.961622
92,0.026762,0.041316,0.980238,0.961292
93,0.026566,0.04199,0.979887,0.960621
94,0.026657,0.040899,0.980148,0.961125
95,0.027245,0.042436,0.980528,0.961853
96,0.027134,0.04229,0.980336,0.961489
97,0.02648,0.041875,0.979886,0.96062
98,0.026103,0.042488,0.979681,0.960232
99,0.025485,0.042528,0.979881,0.96062
100,0.025154,0.043006,0.980008,0.960858
